Region,BEIS School ID,School.Name,Division,Legislative.District,Province,City or Municipality,Barangay,Latitude,Longitude, Kinder , Grade 1 , Grade 2 , Grade 3 , Grade 4 , Grade 5 , Grade 6 , Grade 7 , Grade 8 , Grade 9 , Grade 10 , Grade 11 , Grade 12 , Total Seats 
Region II,411377,The Playhouse Preparatoria Inc.,City of Ilagan,District 1,Province of Isabela,City of Ilagan,Alibagu,1706358,12152441,14,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20
Region II,400362,Academy of Saint Joseph,Cagayan,Second District,Province of Cagayan,Municipality of Claveria,Barangay Centro 1,18.60586,121.08155, -   , -   , -   , -   , -   , -   , -   ,120,141,91,118,93,119,682
NCR,486530,"La Felicidad Learning Center, Inc.",Malabon City,Lone District,NCR,City of Malabon,Barangay tonsuya,15,121,1, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1
Region III,418719,"Buenasher Learning Academy, Inc.",Bulacan,District VI,Province of Bulacan,Municipality of Santa Maria ,Barangay Pulong Buhangin ,14.87165,121.00058,60,70,70,70,70,70,70,140,105,70,70,160,160,1185
Region II,415071,Sto. Niño Catholic School of Ballesteros Inc.,Cagayan,II,Cagayan,Ballesteros ,Cabaritan West ,18.4255302,121.4855082,10,15,15,15,15,15,14, -   , -   , -   , -   , -   , -   ,99
Region XIII (Caraga),474001,"Esther Cebuala Christian Memorial Academy Inc.,",Surigao del Norte,Alegria District,Province of Surigao del Norte,Municipality of Alegria,Barangay Gamuton,9.4609516,125.5757492,9,4,7,6,5,3,10, -   , -   , -   , -   , -   , -   ,44
Region IV-A (CALABARZON),401716,Dorcas Samaritan Academe Inc.,Cavite,7TH DISTRICT,Region IV-A - CAVITE,AMADEO,BARANGAY 8,143.168756,120.9209,15,8,13,10,6,7,4, -   , -   , -   , -   , -   , -   ,63
Region IV-A (CALABARZON),402835,Saint Francis Academy,Quezon,District 1,Quezon,Tiaong,San Francisco,13.89077,121.3392, -   , -   , -   , -   , -   , -   , -   ,"10,310","9,985","10,081","10,173", -   , -   ,40549
Region II,410832,Great Visions Academy Inc,Nueva Vizcaya,LONE DISTRICT,PROVINCE OF NUEVA VIZCAYA,Municipality of Bambang,Barangay Homestead,16.393514,121.110012,30,40,40,25,20,25,25, -   , -   , -   , -   , -   , -   ,205
NIR,445503,"Binicuil Sunbeam Kindergarten, Inc.",Kabankalan City,Kabankalan,Negros Island Region,Kabankalan City,Binicuil,14.57929,121.06494,38, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,38
Region I,400231,St. Mary's Dominican School,"Pangasinan II, Binalonan",6B,Province of Pangasinan,Municipality of San Manuel,Guiset Norte,16,120,25,35,35,35,35,35,35,45,45,45,45,45,45,505
Region II,416012,Kids Workshop Learning Center,Nueva Vizcaya,Lone District,Province of Nueva Vizcaya,Municipality of Solano,Barangay Quezon,16.51639,121.17739,50,25,25,25,25,25,25, -   , -   , -   , -   , -   , -   ,200
Region II,400537,Saint Christian Educational Center Inc.,Quirino,Lone District,Province of Quirino,Municipality of Aglipay,Barangay Pinaripad Norte ,16.46673,121.65,15,15,15,15,15,15, -   , -   , -   , -   , -   , -   , -   ,90
Region IV-A (CALABARZON),424455,Norris Hilton Academy,Bacoor City,Second District,Province of Cavite,City of Bacoor,Barangay Molino IV,14.37331,120.98663,10,10,10,10,10,10,10, -   , -   , -   , -   , -   , -   ,70
Region IV-A (CALABARZON),403829,Laguna Northwestern College,Laguna,Lone District,Province of Laguna,Municipality of Siniloan,Brangay Buhay,14.43041663,121.4492343,5,5,7,3, -   ,1,6,17,20,17,19,30,23,153
Region V,403768,Liceo de Masbate,Masbate City,MASBATE DISTRICT,PROVINCE OF MASBATE,CITY OF MASBATE,BAPOR QUEZON ST.,12.36912,123.61868,40,40,22,30,24,24,25, -   , -   , -   , -   , -   , -   ,205
Region IV-A (CALABARZON),410816,G and Z Learning Institute Corporation,Cavite,TANZA,CAVITE,CITY OF CAVITE,DAANG AMAYA I,14.39163,120.85364,30,22,22, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,74
Region II,400560,"King James Christian School of Santiago City, Inc.",Santiago City,Dictrict 4,Isabela,Santiago City,Plaridel,16.67816,121.53863,15,15,16,15,15,15,15, -   , -   , -   , -   , -   , -   ,106
Region IV-A (CALABARZON),424528,"Los Banos Faith Christian School, Inc.",Laguna,2nd District,Laguna,Los Baños,Batong Malake,14.1722,121.2423,30,20,20,15,15,20,25, -   , -   , -   , -   , -   , -   ,145
Region IV-A (CALABARZON),410380,Sansung Mission School Inc.,Antipolo City,1st District,Province of Rizal,City of Antipolo,Barangay Muntingdilaw,14.60524,121.12755,21,10, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,31
Region I,400007,"Batac Institute, Inc.",Batac City,2,Province of Ilocos Norte,City of Batac,Valdez,18.05378716,120.5660217, -   , -   , -   , -   , -   , -   , -   ,40,40,40,40,40,40,240
Region III,418010,"Northridge Montessori School of Bataan, Inc.",Bataan,2nd District,Province of Bataan,Municipality of PIlar,Barangay Poblacion,14.67,120.55,30,15,15,15,15,15,15, -   , -   , -   , -   , -   , -   ,120
NIR,448001,Southdale Integrated School,Dumaguete City,District II,Negros Oriental,DUMAGUETE CITY (Capital),Daro,9.315621952,123.2977477,10,10,10,20,10,10,10,10,10,10,10, -   , -   ,120
Region V,411205,DYNAMIC SCHOLARS ACADEMY INC.,Masbate City,2nd Congressional District,Province of Masbate,City of Masbate,Barangay Nursery,12.3662049,123.631792,20,20,20,12,18, -   , -   , -   , -   , -   , -   , -   , -   ,90
Region III,422543,"Modern Era Learning Center, Inc.",City of San Jose Del Monte,lone District,Bulacan,City og San Jose Del Monte Bulacan,Muzon Proper,14.80881,121.03513,30,30,30,15,15,15,30, -   , -   , -   , -   , -   , -   ,165
Region VI,403976,"St. Martin Academy, Inc.",Capiz,2nd  ,Capiz,Dumalag,Poblacion,11.30649,122.62262,20,17,10,10,12,12,7,40,45,50,40,50,55,368
Region III,401375,"Little Angel Study Center, Inc.",Olongapo City,District 1,Province of Zambales,City of Olongapo,Barangay West Tapinac,14.8293708,120.2786485,60,80,80,80,80,80,80,80,80,80,80,80,80,1020
NCR,408049,"Sampedro Children's Learning Center (SCLC), Inc.",Malabon City,Lone District,NCR,City of Malabon,Barangay Tugatog,14.662126,120.970201,20, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20
Region IV-A (CALABARZON),428504,Our Lady of Socorro Academy,Calamba City,2nd District,Province of Laguna,City of Calamba,Barangay Canlubang,14.21023308,121.1074979,12,15,15,15,15,15,15, -   , -   , -   , -   , -   , -   ,102
Region X,404979,Southern Bukidnon Foundation Academy,Bukidnon,District III,Bukidnon ,Don Carlos ,Poblacion Norte ,7.68376,124.99841, -   , -   , -   , -   , -   , -   , -   ,40,40,40,40,40,40,240
Region II,410068,Creative Dream Christian Academy Inc.,Cagayan,N/A,Cagayan,Gattaran,"Sitio Padungsol, Basao",18.09615167,121.7174567,18,17,7,22,15,17,14,13, -   , -   , -   , -   , -   ,123
Region VII,410253,Nuevo School of Technology and Humanities Inc.,Cebu, Cebu's 7th Congressional District,Province of Cebu,Municipality of Moalboal,Barangay Tunga,9.955433939,123.3947684,30,30,30,30,30,30,30,30,30,30,30,30,30,390
Region X,405212,The Fisher's Valley Academy,Cagayan de Oro City,South,Misamis Oriental,Cagayan de Oro City,imburnal Camaman-an,8.470955,124.662228,30,30,30,30,30,30,30,30,30,30,30,30,30,390
Region I,408143,"Banna Church of Christ Disciples Learning Center, Inc.",Ilocos Norte,2nd District,Ilocos Norte,Banna,1 Valenciano,17.9824,120.65719,65, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,65
Region I,413002,Emmanuel Fundamental Baptist Learning Center,Laoag City,District 1,Province of Ilocos Norte,City of Laoag,Barangay 48-A,18.18675032,120.557849,25,26,18,21,13,21,12, -   , -   , -   , -   , -   , -   ,136
Region VI,440054,Batad Christian Learning School,Iloilo,Fifth district ,Province of Iloilo ,Municipality of Batad ,Barangay Poblacion ,11.4,123.11,36, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,36
Region III,418032,Christian Community School of Mariveles Inc.,Bataan,3RD DISTRICT ,PROVINCE OF BATAAN,MUNICIPALITY OF MARIVELES,BARANGAY TOWNSITE,14.45817,120.059469,37,26,22,10,13,22,8, -   , -   , -   , -   , -   , -   ,138
Region IV-A (CALABARZON),402457,South Horizon Academy,Binan City,Lone District,Province of Laguna,City of Biñan,Barangay San Francisco,14.33304,121.063955,40,40,40,50,30,30,30, -   , -   , -   , -   , -   , -   ,260
Region III,401435,Jarmmeth Academy Inc.,City of San Jose Del Monte,Lone District,Bulacan,"City of San Jose del Monte, Bulacan",Muzon,14.79866,121.03219,18,30,35,26,32,37,18,78,85,49,53,67,75,603
Region IV-A (CALABARZON),403055,San Francisco Parish School,Rizal,Second Legislative District,Province of Rizal,Municipality of Cardona,Barangay Del Remedio,14.48664,121.230177,30,40,40,40,40,40,40,45,45,45,45,45,45,540
Region IX,455521,"Siocon A to Z Christian Community Learning Center,Inc.",Zamboanga del Norte,Siocon District,Zamboanga del Norte,Siocon,Poblacion,73.7,7.7068558,13,6,6,5,5,2, -   , -   , -   , -   , -   , -   , -   ,37
Region V,432580,"West Coast College, Inc.",Albay,3rd District,Province of Albay,Municipality of Pioduran,Barangay Banawan ,13.03759,123.45047,25, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,150,150,325
Region I,400184,"Pevhee Izel School, Inc.","Pangasinan I, Lingayen",3rd district,pangasinan,santa barbara,poblacion sur,16.000302,120.399346,40,30,40,30,30,40,40,30,30,30,30,20,20,410
Region I,413002,Emmanuel Fundamental Baptist Learning Center,Laoag City,District I,Province of Ilocos Norte,City of Laoag,Barangay 48-A,18.186676,120.557796,25,20,20,20,25,20,20, -   , -   , -   , -   , -   , -   ,150
Region II,416506,Lighthouse Christian School,Quirino,Lone District ,Province of Quirino ,Municipality of Saguday ,Barangay Rizal ,26,30,10,15,15,15,15,15,15, -   , -   , -   , -   , -   , -   ,100
Region III,401245,"CIT Colleges of Paniqui Foundation, Inc",Tarlac,1st District,Province of Tarlac,Municipality of Paniqui,Barangay Poblacion Norte,15.66998,120.57859,20,20,20,20,20,20,20,40,40,40,40,40,40,380
Region II,400345,Lyceum of Aparri,Cagayan,I,Province of Cagayan,Municipality of Aparri,Barangay Macanaya,18.34716,121.64337,20,30,30,30,30,35,35,70,70,70,70,70,70,630
NCR,410256,"St. Michael Arcangel Technological Institute, Inc.",Malabon City,Lone,NCR,City of Malabon,Santulan,14.68604,120.95939, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20,20
Region X,463003,"F. Margaret Anne Learning Center, Inc.",Iligan City,Lone District,Province of Lanao del Norte,City of Iligan,Barangay Tubod,8.209142089,124.2455556,12,12,12,12,12,12,12, -   , -   , -   , -   , -   , -   ,84
Region IV-A (CALABARZON),401968,Jabez Christian School,Dasmarinas City,4th District,Province of Cavite,City of Dasmariñas,Barangay Sampaloc I,14.29519,120.96373,25,30,30,30,30,30,30,30,30,30,30,30,30,385
NCR,485555,"Kids World Integrated School, Inc.",City of San Juan,lone,ncr,san juan,onse,14.600821,121.03178, -   , -   , -   , -   , -   , -   , -   ,2,3,5,3, -   , -   ,13
NIR,409597,Eskinosen Integrated Academy,Bacolod City,Lone District,Province of Negros Occidental,City of Bacolod,Barangay Vista Alegre,10.65278157,23.00963851,40, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,40
Region VI,442634,Espousal of Our Lady Catechetical Learning Center,Iloilo City,LOnr District,Province of Iloilo,City of Iloilo,Barangay Oñate- De leon,10.71783,122.53627,20, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,20
Region IV-A (CALABARZON),407916,"Metro Lucena Integrated Learning Center, Inc.",Tayabas City,District 1,Province of Quezon,City of Tayabas,Barangay Isabang,13.95801,121.57011,20,22,22,30,30,22,22,30,30,30,30, -   , -   ,288
